mamba_d_model,mamba_layers,mamba_d_state,mamba_dropout,mamba_pooling,gps_layers,gps_dropout,lg_alpha,lr,batch_size,clip_grad,sampling_config,val_loss,val_r2,kappa,mad,mse,mape,msle,trial_number
128,2,8,0.1,last,3,0.1,0.3,0.0006813625531269786,64,5.0,"(15, 10)",0.02670392021536827,0.3368169665336609,0.35368260741233826,0.40136346220970154,0.2830207645893097,43.981727600097656,0.24905800819396973,53
128,2,8,0.1,last,3,0.1,0.3,0.0008044552908106394,64,5.0,"(15, 10)",0.026308314874768257,0.34445077180862427,0.35240134596824646,0.39889299869537354,0.27976295351982117,42.89839172363281,0.24234254658222198,55
128,3,32,0.1,mean,2,0.1,0.7,0.0006466961057464763,64,5.0,"(15, 10)",0.028387948870658875,0.32315582036972046,0.34218305349349976,0.405080646276474,0.2888508439064026,43.24753189086914,0.25138095021247864,56
256,4,64,0.2,last,2,0.1,0.7,0.0005747182887480711,256,2.0,"(15, 10)",0.027570469304919243,0.33998799324035645,0.3339711129665375,0.4060608446598053,0.2816675305366516,46.95016098022461,0.2537151575088501,64
128,3,64,0.1,mean,4,0.1,0.5,0.0008792297599914313,128,5.0,"(15, 10)",0.027602657675743103,0.32297593355178833,0.34335073828697205,0.40903979539871216,0.2889276146888733,45.87092971801758,0.2589806914329529,66
256,2,8,0.1,last,4,0.1,0.3,0.0007474862111196843,128,2.0,"(25, 15)",0.026286885142326355,0.3578870892524719,0.3576935827732086,0.39770421385765076,0.27402886748313904,45.320491790771484,0.2447490096092224,77
128,4,64,0.2,last,2,0.1,0.7,0.0006294552078062117,64,0.0,"(15, 10)",0.02716696634888649,0.34949880838394165,0.3295614421367645,0.40002721548080444,0.2776086628437042,44.674232482910156,0.2457510232925415,79
128,2,8,0.1,last,3,0.1,0.3,0.0005220868271016467,64,5.0,"(15, 10)",0.026123419404029846,0.3568093180656433,0.34362074732780457,0.39886587858200073,0.2744888365268707,44.97866439819336,0.2419494390487671,81
128,2,8,0.1,last,3,0.1,0.3,0.0008718045601417525,64,5.0,"(15, 10)",0.026919037103652954,0.3266228437423706,0.3531949520111084,0.40169525146484375,0.2873712480068207,42.51660919189453,0.2497980296611786,83
128,2,8,0.1,last,3,0.1,0.3,0.0005570850650397309,64,5.0,"(15, 10)",0.025530122220516205,0.37553733587265015,0.3542592227458954,0.3939152956008911,0.2664964199066162,45.007789611816406,0.23961827158927917,84
128,2,8,0.1,last,3,0.1,0.3,0.0007331509896867213,64,5.0,"(15, 10)",0.02637150138616562,0.348333477973938,0.3583272099494934,0.39873990416526794,0.2781059741973877,44.17547607421875,0.24448558688163757,85
128,2,32,0.1,last,3,0.1,0.3,0.0005690953507322628,64,5.0,"(15, 10)",0.026063907891511917,0.36634254455566406,0.34976014494895935,0.3970627784729004,0.2704204022884369,45.539363861083984,0.24362972378730774,86
64,2,64,0.1,last,4,0.1,0.3,0.0009844900653168077,64,0.0,"(15, 10)",0.02617562562227249,0.3534626364707947,0.34394389390945435,0.3974713385105133,0.27591705322265625,44.22486877441406,0.24266763031482697,90
128,4,8,0.1,last,2,0.2,0.7,0.0008006789297955048,128,5.0,"(15, 10)",0.027456121519207954,0.33893316984176636,0.3334188163280487,0.40608692169189453,0.28211766481399536,47.05057144165039,0.25328701734542847,95
128,2,8,0.2,last,3,0.1,0.5,0.0006921486755348822,64,5.0,"(15, 10)",0.026610787957906723,0.3551575541496277,0.3397809863090515,0.40185484290122986,0.2751937210559845,46.13314437866211,0.2469872236251831,96
256,4,8,0.1,last,3,0.1,0.7,0.0005026194105678039,256,5.0,"(15, 10)",0.026784909889101982,0.3588505983352661,0.350711852312088,0.3962272107601166,0.273617684841156,44.24028396606445,0.24326835572719574,98
