k_diag,k_bert,method,rewiring,experiment_id,n_edges,n_nodes,density,graph_prefix,status,r2_seed_42,time_seed_42,r2_mean,r2_std,r2_min,r2_max,successful_seeds,avg_training_time
3,1,penalize,mst,k3_1_penalize_mst,186659,65347,8.742472353636619e-05,gps_k3_1_pn_mst_,completed,0.42567700147628784,664.31179022789,0.42567700147628784,0.0,0.42567700147628784,0.42567700147628784,1,664.31179022789
3,3,faiss,none,k3_3_faiss_none,337439,65347,0.0001580449444462248,gps_k3_3_fa_,completed,0.4166460633277893,747.0695543289185,0.4166460633277893,0.0,0.4166460633277893,0.4166460633277893,1,747.0695543289185
3,3,faiss,gdc_light,k3_3_faiss_gdc_light,337639,65347,0.00015813861764016278,gps_k3_3_fa_gdcl_,completed,0.40341782569885254,746.910356760025,0.40341782569885254,0.0,0.40341782569885254,0.40341782569885254,1,746.910356760025
3,3,faiss,mst,k3_3_faiss_mst,337439,65347,0.0001580449444462248,gps_k3_3_fa_mst_,completed,0.3806343674659729,740.4879722595215,0.3806343674659729,0.0,0.3806343674659729,0.3806343674659729,1,740.4879722595215
3,3,tfidf,none,k3_3_tfidf_none,316526,65347,0.00014825000692209777,gps_k3_3_tf_,completed,0.4199037551879883,674.5321004390717,0.4199037551879883,0.0,0.4199037551879883,0.4199037551879883,1,674.5321004390717
3,3,tfidf,gdc_light,k3_3_tfidf_gdc_light,316726,65347,0.00014834368011603575,gps_k3_3_tf_gdcl_,completed,0.4234030842781067,675.5542039871216,0.4234030842781067,0.0,0.4234030842781067,0.4234030842781067,1,675.5542039871216
3,3,tfidf,mst,k3_3_tfidf_mst,316526,65347,0.00014825000692209777,gps_k3_3_tf_mst_,completed,0.42637163400650024,675.6352212429047,0.42637163400650024,0.0,0.42637163400650024,0.42637163400650024,1,675.6352212429047
3,3,penalize,none,k3_3_penalize_none,317134,65347,0.00014853477343166927,gps_k3_3_pn_,completed,0.4288606643676758,715.6095349788666,0.4288606643676758,0.0,0.4288606643676758,0.4288606643676758,1,715.6095349788666
3,3,penalize,gdc_light,k3_3_penalize_gdc_light,317334,65347,0.00014862844662560728,gps_k3_3_pn_gdcl_,completed,0.4188435673713684,710.827556848526,0.4188435673713684,0.0,0.4188435673713684,0.4188435673713684,1,710.827556848526
3,3,penalize,mst,k3_3_penalize_mst,317134,65347,0.00014853477343166927,gps_k3_3_pn_mst_,completed,0.4161231517791748,712.7411935329437,0.4161231517791748,0.0,0.4161231517791748,0.4161231517791748,1,712.7411935329437
5,1,faiss,none,k5_1_faiss_none,294081,65347,0.00013773753273240566,gps_k5_1_fa_,completed,0.4238966703414917,902.2709810733795,0.4238966703414917,0.0,0.4238966703414917,0.4238966703414917,1,902.2709810733795
5,1,faiss,gdc_light,k5_1_faiss_gdc_light,294281,65347,0.00013783120592634365,gps_k5_1_fa_gdcl_,completed,0.4177480936050415,899.4459402561188,0.4177480936050415,0.0,0.4177480936050415,0.4177480936050415,1,899.4459402561188
